ClimbRate,Sgz,P,Q,CurRoll,AbsRoll,DiffClb,DiffRollRate,DiffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,DiffSaTime1,DiffSaTime2,DiffSaTime3,DiffSaTime4,Sa,Goal
-298,-2,0.02,0.24,2.7,-9,-19,-0.015,-1.8,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.017, 0.019]"
52,-2,0.54,0.12,1.1,-9,-10,-0.022000000000000002,-0.3,-0.0011,-0.001,-0.001,-0.0009,-0.0002,0.0,-0.0002,0.0,-0.0009,"[0.019, 0.02]"
-60,-3,0.05,0.15,-0.4,-7,-19,0.006,0.5,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
-501,0,0.03,0.2,0.6,-9,-19,-0.004,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.019, 0.02]"
-272,1,-0.05,0.16,-0.4,-6,-18,0.008,0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.019, 0.02]"
-103,-42,0.22,0.07,-0.2,-7,-7,-0.003,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-48,-47,-0.23,0.29,0.5,-6,-35,-0.019,-0.8,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.012, 0.017]"
-512,-31,-0.52,-0.04,0.1,-10,6,0.02,0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.012, 0.017]"
-71,9,0.11,-0.02,-0.8,-14,8,0.013000000000000001,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
-192,-12,-0.44,0.02,1.6,-4,-2,-0.008,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-302,-6,0.19,-0.01,0.3,-7,0,-0.007,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-338,-9,-0.64,-0.04,0.4,-16,13,0.009,0.8,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,"[0.017, 0.019]"
9,-5,0.0,0.0,0.1,-7,1,-0.007,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-572,-6,-0.41,0.07,-0.8,-8,-6,0.005,0.0,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
-393,-6,0.36,0.02,-0.3,-16,-6,0.011000000000000001,2.8,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,"[0.024, 0.078]"
-13,13,0.04,0.03,0.1,-10,1,-0.008,0.0,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.019, 0.02]"
35,-16,-0.08,0.08,0.3,-6,-9,-0.004,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.024, 0.078]"
-122,-8,0.39,0.22,-1.1,-20,-1,0.016,-0.2,-0.0016,-0.0015,-0.0015,-0.0013,-0.0002,0.0,-0.0003,0.0,-0.0013,"[0.024, 0.078]"
111,-9,0.52,0.18,0.1,-6,-8,-0.005,-3.6,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.02, 0.024]"
-161,-23,0.2,0.1,-0.2,-9,-9,-0.005,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.012, 0.017]"
393,-86,-0.7,-0.17,-1.6,-7,19,0.023,-0.3,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,"[0.012, 0.017]"
128,-66,-0.3,-0.02,-1.7,-15,11,0.042,-0.4,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.024, 0.078]"
-48,-31,-0.29,-0.08,-0.8,-8,16,0.003,-0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.012, 0.017]"
56,-36,0.28,0.0,-0.6,-13,6,0.013000000000000001,0.0,-0.0007,-0.0006,-0.0006,-0.0005,-0.0002,0.0,-0.0001,0.0,-0.0005,"[0.019, 0.02]"
158,3,-0.59,0.07,0.5,-8,-4,0.001,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,"[0.024, 0.078]"
-326,-68,-0.03,-0.19,1.8,-8,21,-0.011000000000000001,0.6,-0.0007,-0.0007,-0.0007,-0.0007,-0.0001,0.0,0.0,0.0,-0.0007,"[0.012, 0.017]"
-245,7,0.16,-0.09,-1.0,-8,-4,-0.002,2.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.012, 0.017]"
-279,-30,-0.34,0.02,0.6,-10,-1,-0.023,0.7,-0.001,-0.001,-0.001,-0.0011,0.0,0.0,0.0001,0.0,-0.0011,"[0.012, 0.017]"
166,-24,0.06,0.0,1.4,-5,0,-0.019,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
-381,-5,-0.8,-0.05,0.5,-10,-8,-0.018000000000000002,1.2,-0.0009,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,"[0.017, 0.019]"
55,-5,-0.24,0.01,-0.5,-9,3,-0.001,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
318,-16,0.32,-0.03,1.6,-10,7,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.02, 0.024]"
-61,-2,-0.07,0.0,-0.3,-12,7,0.011000000000000001,-0.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,"[0.017, 0.019]"
11,-61,-0.7,-0.19,-0.3,-6,12,-0.001,1.4,-0.0004,-0.0004,-0.0004,-0.0005,0.0,0.0,0.0001,0.0,-0.0005,"[0.012, 0.017]"
-673,17,0.04,-0.07,0.9,-5,1,-0.008,1.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.012, 0.017]"
304,-13,0.3,0.09,1.2,-8,-6,-0.023,-0.9,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.024, 0.078]"
-176,-44,0.07,-0.11,-0.2,-6,11,0.008,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,-0.0002,0.0,-0.0001,0.0,-0.0003,"[0.017, 0.019]"
51,-11,-0.53,-0.02,-1.1,-12,8,0.003,-0.2,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,"[0.02, 0.024]"
-87,3,0.28,0.15,0.9,-10,-13,-0.012,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.019, 0.02]"
364,-13,0.19,-0.09,0.4,-13,16,0.003,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,"[0.017, 0.019]"
129,-10,0.07,-0.08,0.2,-9,11,0.002,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-284,35,0.1,0.22,0.4,-19,-7,0.002,-0.2,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.02, 0.024]"
-155,28,-0.27,0.19,1.5,-10,-16,-0.027999999999999997,-0.6,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.017, 0.019]"
284,53,-0.38,0.09,-1.2,-20,8,0.012,0.6,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,"[0.024, 0.078]"
259,-23,-0.15,0.08,-0.5,-15,3,0.005,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.02, 0.024]"
437,-75,0.05,0.07,0.0,-15,-1,-0.006,0.6,-0.0009,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,"[0.017, 0.019]"
218,6,-0.37,0.08,1.2,-9,-6,-0.003,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
235,-6,0.33,0.01,-0.5,-12,6,0.013000000000000001,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,"[0.024, 0.078]"
50,-36,0.23,-0.12,-1.0,-8,15,0.015,-0.2,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,"[0.017, 0.019]"
-60,-8,0.04,0.25,-2.1,-18,-10,-0.012,-0.1,-0.0015,-0.0015,-0.0015,-0.0015,0.0,0.0,0.0,0.0,-0.0015,"[0.024, 0.078]"
-304,-40,-0.29,-0.2,0.4,-10,21,-0.002,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.02, 0.024]"
212,-21,-0.09,0.01,1.0,-5,0,-0.017,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
-332,3,0.19,0.16,2.6,-16,-1,-0.01,-0.8,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,"[0.019, 0.02]"
173,11,0.08,0.07,0.6,-6,-3,0.001,-1.5,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.02, 0.024]"
180,-15,0.0,-0.03,0.2,-9,5,-0.001,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
147,-42,0.31,0.07,1.6,-16,5,0.006,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.019, 0.02]"
-276,-32,0.03,0.04,0.6,-10,-5,-0.023,1.3,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.02, 0.024]"
16,36,-0.02,-0.04,-1.1,-7,5,0.006,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.019, 0.02]"
71,-55,0.21,0.03,0.5,-8,-2,-0.009,-0.1,-0.0005,-0.0005,-0.0005,-0.0006,0.0,0.0,0.0001,0.0,-0.0006,"[0.017, 0.019]"
-582,20,-0.57,0.17,0.4,-16,-8,-0.025,0.0,-0.0013,-0.0014,-0.0014,-0.0014,0.0001,0.0,0.0,0.0,-0.0014,"[0.02, 0.024]"
252,-4,-0.14,0.04,0.1,-8,-2,-0.001,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.02, 0.024]"
539,-27,0.1,-0.06,-0.5,-11,18,0.012,-1.7,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.02, 0.024]"
179,-43,-0.27,0.2,-1.7,-14,-9,0.013000000000000001,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,"[0.024, 0.078]"
-236,11,-0.23,-0.03,1.5,-14,9,-0.018000000000000002,0.7,-0.0016,-0.0016,-0.0016,-0.0016,0.0,0.0,0.0,0.0,-0.0016,"[0.024, 0.078]"
-121,-16,0.07,-0.05,0.6,-6,5,-0.004,0.1,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
66,-50,-0.11,0.06,0.9,-18,10,-0.021,-0.1,-0.0027,-0.0027,-0.0027,-0.0027,0.0,0.0,0.0,0.0,-0.0027,"[0.024, 0.078]"
162,37,-0.04,0.09,-0.7,-7,-9,0.007,0.0,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.024, 0.078]"
204,-18,-0.03,-0.07,-1.1,-7,9,0.01,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.019, 0.02]"
-234,-9,0.34,0.14,-0.4,-19,3,0.007,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0.0,0.0,0.0,-0.001,"[0.02, 0.024]"
211,-61,0.36,-0.08,0.0,-6,9,0.004,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.019, 0.02]"
20,1,0.07,-0.1,0.1,-12,16,0.004,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.017, 0.019]"
-292,-7,-0.47,-0.17,-0.2,-6,12,-0.004,1.7,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.012, 0.017]"
261,-45,-0.06,-0.05,-0.7,-9,7,0.011000000000000001,0.0,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.017, 0.019]"
-388,-8,0.03,0.25,-2.1,-16,-6,0.018000000000000002,-0.9,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.024, 0.078]"
360,-4,0.27,-0.05,-1.5,-17,17,0.033,-0.4,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,"[0.024, 0.078]"
-62,-48,0.32,0.01,0.4,-6,1,-0.004,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.012, 0.017]"
-363,19,0.14,0.38,0.4,-20,-20,0.004,0.0,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,"[0.024, 0.078]"
-18,3,-0.13,0.07,-0.7,-8,-7,0.001,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.02, 0.024]"
3,-45,-0.31,0.09,0.1,-6,-6,0.002,-0.9,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.024, 0.078]"
276,-4,0.45,0.2,-0.3,-15,-10,-0.01,0.0,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,"[0.024, 0.078]"
