mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7,58,"[27.0, 98.0]"
1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,"[27.0, 98.0]"
1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,"[27.0, 98.0]"
1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,"[1.0, 27.0]"
1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,"[27.0, 98.0]"
1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,"[1.0, 27.0]"
1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,"[1.0, 27.0]"
1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,5,"[1.0, 27.0]"
1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,"[1.0, 27.0]"
1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,"[1.0, 27.0]"
1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,"[1.0, 27.0]"
1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,"[27.0, 98.0]"
1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,1,63,"[27.0, 98.0]"
1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,"[98.0, 189.0]"
1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,"[27.0, 98.0]"
1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,"[27.0, 98.0]"
1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,"[27.0, 98.0]"
1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,"[27.0, 98.0]"
1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,"[27.0, 98.0]"
1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,"[27.0, 98.0]"
1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,"[27.0, 98.0]"
1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,"[27.0, 98.0]"
1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,"[98.0, 189.0]"
1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,"[98.0, 189.0]"
1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,"[98.0, 189.0]"
1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,"[27.0, 98.0]"
1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,3,49,"[27.0, 98.0]"
1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,"[1.0, 27.0]"
1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,"[1.0, 27.0]"
1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,"[1.0, 27.0]"
1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,"[1.0, 27.0]"
1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,"[1.0, 27.0]"
1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,"[1.0, 27.0]"
1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,"[1.0, 27.0]"
1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,"[27.0, 98.0]"
1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,"[27.0, 98.0]"
1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,"[98.0, 189.0]"
1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,"[98.0, 189.0]"
1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,"[27.0, 98.0]"
1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,"[27.0, 98.0]"
1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,"[27.0, 98.0]"
1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,18,79,"[27.0, 98.0]"
1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,"[27.0, 98.0]"
1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,"[27.0, 98.0]"
1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,"[27.0, 98.0]"
1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,"[189.0, 321.0]"
1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,3,179,"[98.0, 189.0]"
1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,"[98.0, 189.0]"
1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,"[27.0, 98.0]"
1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,"[27.0, 98.0]"
1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,"[27.0, 98.0]"
1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,"[1.0, 27.0]"
1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,"[1.0, 27.0]"
1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6,"[1.0, 27.0]"
1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,2,"[1.0, 27.0]"
1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,"[1.0, 27.0]"
1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,"[1.0, 27.0]"
1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,0,33,"[27.0, 98.0]"
1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,1,87,"[27.0, 98.0]"
1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,"[189.0, 321.0]"
1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,6,109,"[98.0, 189.0]"
1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,4,53,"[27.0, 98.0]"
1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,"[27.0, 98.0]"
1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,"[27.0, 98.0]"
1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,"[27.0, 98.0]"
1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,10,52,"[27.0, 98.0]"
1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,7,55,"[27.0, 98.0]"
1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,"[27.0, 98.0]"
1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,4,186,"[189.0, 321.0]"
1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,"[98.0, 189.0]"
1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,"[98.0, 189.0]"
1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,"[27.0, 98.0]"
1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,"[27.0, 98.0]"
1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,1,41,"[27.0, 98.0]"
1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,"[1.0, 27.0]"
1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,"[1.0, 27.0]"
1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,"[1.0, 27.0]"
1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,"[1.0, 27.0]"
1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,0,1,"[1.0, 27.0]"
1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,"[1.0, 27.0]"
1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,"[27.0, 98.0]"
1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,"[27.0, 98.0]"
1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,"[189.0, 321.0]"
1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,"[98.0, 189.0]"
1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,"[27.0, 98.0]"
1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,"[27.0, 98.0]"
1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,"[27.0, 98.0]"
1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,"[27.0, 98.0]"
1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,"[27.0, 98.0]"
1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,"[27.0, 98.0]"
1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,"[27.0, 98.0]"
1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,"[98.0, 189.0]"
1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,"[98.0, 189.0]"
1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,"[98.0, 189.0]"
1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,"[27.0, 98.0]"
1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,"[27.0, 98.0]"
1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,"[27.0, 98.0]"
1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,"[1.0, 27.0]"
1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,4,13,"[1.0, 27.0]"
1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,2,5,"[1.0, 27.0]"
1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,0,1,"[1.0, 27.0]"
1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,"[1.0, 27.0]"
1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,"[1.0, 27.0]"
1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,"[27.0, 98.0]"
1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,"[27.0, 98.0]"
1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,20,190,"[189.0, 321.0]"
1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,"[98.0, 189.0]"
1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,16,47,"[27.0, 98.0]"
1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,19,48,"[27.0, 98.0]"
1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,9,50,"[27.0, 98.0]"
1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,"[27.0, 98.0]"
1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,7,43,"[27.0, 98.0]"
1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,"[27.0, 98.0]"
1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,"[27.0, 98.0]"
1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,"[98.0, 189.0]"
1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,"[98.0, 189.0]"
1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,3,92,"[27.0, 98.0]"
1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,"[27.0, 98.0]"
1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,0,39,"[27.0, 98.0]"
1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,2,34,"[27.0, 98.0]"
1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,1,14,"[1.0, 27.0]"
1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,1,24,"[1.0, 27.0]"
1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,"[1.0, 27.0]"
1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,"[1.0, 27.0]"
1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,7,"[1.0, 27.0]"
1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,1,"[1.0, 27.0]"
1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,"[1.0, 27.0]"
1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,"[1.0, 27.0]"
1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,"[1.0, 27.0]"
1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,"[1.0, 27.0]"
1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,"[1.0, 27.0]"
1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,5,56,"[27.0, 98.0]"
1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,"[27.0, 98.0]"
1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,"[98.0, 189.0]"
1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,"[98.0, 189.0]"
1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,"[27.0, 98.0]"
1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,"[27.0, 98.0]"
1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,"[27.0, 98.0]"
1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,"[27.0, 98.0]"
1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,"[27.0, 98.0]"
1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,"[27.0, 98.0]"
1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,"[27.0, 98.0]"
1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,"[27.0, 98.0]"
1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,"[27.0, 98.0]"
1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,"[1.0, 27.0]"
1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,"[1.0, 27.0]"
1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,"[1.0, 27.0]"
1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,"[1.0, 27.0]"
1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,"[1.0, 27.0]"
1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,"[1.0, 27.0]"
1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,"[1.0, 27.0]"
1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,"[1.0, 27.0]"
1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1,5,"[1.0, 27.0]"
1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,"[1.0, 27.0]"
1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,"[1.0, 27.0]"
1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,"[27.0, 98.0]"
1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,"[27.0, 98.0]"
1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,"[27.0, 98.0]"
1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,"[27.0, 98.0]"
1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,"[27.0, 98.0]"
1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,5,77,"[27.0, 98.0]"
1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,"[27.0, 98.0]"
1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,"[27.0, 98.0]"
1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,"[27.0, 98.0]"
1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,"[27.0, 98.0]"
1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,"[27.0, 98.0]"
1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,"[1.0, 27.0]"
1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,"[1.0, 27.0]"
1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,0,6,"[1.0, 27.0]"
1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,"[1.0, 27.0]"
1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,"[1.0, 27.0]"
1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,"[1.0, 27.0]"
1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,"[1.0, 27.0]"
1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,"[1.0, 27.0]"
1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,"[1.0, 27.0]"
1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,"[27.0, 98.0]"
1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,"[27.0, 98.0]"
1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,"[98.0, 189.0]"
1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,"[27.0, 98.0]"
1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,"[27.0, 98.0]"
1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,"[27.0, 98.0]"
1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,"[27.0, 98.0]"
1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,"[27.0, 98.0]"
1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,0,47,"[27.0, 98.0]"
1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,2,43,"[27.0, 98.0]"
1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,"[27.0, 98.0]"
1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,"[98.0, 189.0]"
1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,1,154,"[98.0, 189.0]"
1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,"[27.0, 98.0]"
1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,"[27.0, 98.0]"
1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,1,37,"[27.0, 98.0]"
1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,"[1.0, 27.0]"
1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,"[1.0, 27.0]"
1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,"[1.0, 27.0]"
1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,"[1.0, 27.0]"
1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,0,3,"[1.0, 27.0]"
1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,"[1.0, 27.0]"
1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,"[27.0, 98.0]"
1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,"[98.0, 189.0]"
1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,"[189.0, 321.0]"
1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,3,127,"[98.0, 189.0]"
1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,"[27.0, 98.0]"
1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,"[27.0, 98.0]"
1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,"[27.0, 98.0]"
1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,"[27.0, 98.0]"
1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,"[27.0, 98.0]"
1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,2,45,"[27.0, 98.0]"
1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,"[27.0, 98.0]"
1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,"[98.0, 189.0]"
1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,"[27.0, 98.0]"
1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,"[27.0, 98.0]"
1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,0,32,"[27.0, 98.0]"
1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,0,20,"[1.0, 27.0]"
1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,"[27.0, 98.0]"
1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,1,18,"[1.0, 27.0]"
1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,0,7,"[1.0, 27.0]"
1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,"[1.0, 27.0]"
1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,"[1.0, 27.0]"
1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,"[1.0, 27.0]"
1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,"[1.0, 27.0]"
1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,"[27.0, 98.0]"
1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,"[98.0, 189.0]"
1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,"[27.0, 98.0]"
1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,"[27.0, 98.0]"
1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,"[27.0, 98.0]"
1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,"[27.0, 98.0]"
1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,0,49,"[27.0, 98.0]"
1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,"[27.0, 98.0]"
1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,"[27.0, 98.0]"
1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,5,63,"[27.0, 98.0]"
1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,"[98.0, 189.0]"
1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,"[98.0, 189.0]"
1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,"[27.0, 98.0]"
1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,"[27.0, 98.0]"
1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,"[27.0, 98.0]"
1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,"[27.0, 98.0]"
1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,"[1.0, 27.0]"
1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,"[1.0, 27.0]"
1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,"[1.0, 27.0]"
1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,"[1.0, 27.0]"
1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,"[1.0, 27.0]"
1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,"[1.0, 27.0]"
1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,"[1.0, 27.0]"
1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,"[27.0, 98.0]"
1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,"[27.0, 98.0]"
1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,5,197,"[189.0, 321.0]"
1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,"[98.0, 189.0]"
1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,"[27.0, 98.0]"
1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,"[27.0, 98.0]"
1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,"[27.0, 98.0]"
1,13,0,4,1,1,0.22,0.19699999999999998,0.41,0.4478,2,81,"[27.0, 98.0]"
